@id,@lon,@lat,name,cuisine,opening_hours,addr:street,smoking,amenity
3427388702,21.4147832,41.9964357,Дринкерс Парадајз,,Mo-Su 00:00-01:00 10:00-24:00,Христо Смирненски,outside,pub
3427391618,21.4204573,41.9989335,Браво,,,,outside,pub
3428427693,20.8000470,41.1154200,Pizzeria Americano,italian,,,outside,restaurant
3484100384,21.4231542,41.9917018,Dal Fufo - Galija,,,,,restaurant
3484101195,21.4207515,41.9906511,MFC - Macedonian Fried Chicken,burger,,,,fast_food
3494577049,21.3912646,42.0048773,Burger King,burger,,Љубљанска,,fast_food
3505013893,21.4319604,41.9947506,Destan,kebab,08:00-23:00,11 Октомври,separated,restaurant
3505013993,21.4317257,41.9950911,Ла Тераца,italian,08:00-24:00  Fr-Sa 08:00-01:00,11 Октомври,separated,restaurant
3506695093,21.3910004,42.0045421,Brooklyn Lounge Bar,italian,08:00-00:00; Fr-Sa 08:00-01:00,,separated,restaurant
3536179577,21.4099065,41.9953743,Носталгија,,,Митрополит Теодосиј Гологанов,,restaurant
3551742487,20.5139048,42.2879300,Villa Kroni,,,,,restaurant
3599403566,21.4020366,41.9979148,Кај Маршалот,regional,,Прашка,outside,restaurant
3623547525,21.4238539,41.9952491,Burger Friends,burger,,Митрополит Теодосиј Гологанов,,fast_food
3630012555,22.5717058,40.9945854,Τροχός,,,Μεγάλου Αλεξάνδρου,,fast_food
3647039848,21.7336280,42.1208566,Exclusive,,,,,restaurant
3647048030,21.7448727,42.1214792,Тераца,,,,,restaurant
3648714485,21.4063144,42.0062651,Барбакан,,08:00-01:00,Булевар 8-ми Септември,,restaurant
3659183589,20.7507648,42.2086619,Park Cafe,,,,,restaurant
3663791822,21.4755231,41.9811549,Royal Burger,burger,,Булевар Видое Смилевски Бато,outside,fast_food
3664638120,22.3171977,41.6245987,Пилав Тепе,,,,,restaurant
3671888433,20.8820185,42.0113442,Конак,,,,,restaurant
3695356159,22.7759750,41.9670002,Ресторан Либеро,regional,,Н. Ј. Вапцаров,outside,restaurant
3696549082,22.7727421,41.9665628,Антика,,,,,restaurant
3696549083,22.7743723,41.9671309,Кај Бубето,,,Н. Ј. Вапцаров,,restaurant
3696549084,22.7765278,41.9665702,Анкет,sandwich,,бул. Методи Митевски Брицо,,fast_food
3696549085,22.7771972,41.9664561,Сиан,sandwich,,бул. Македонија,,fast_food
3696549087,22.7774699,41.9661844,Буцко - Бурекчилница,Burek,,Ленинова,,fast_food
3696549088,22.7714652,41.9655104,Пицерија Палма,pizza,,Маршал Тито,,restaurant
3696549089,22.7756155,41.9667157,Панорама,pizza,,Н. Ј. Вапцаров,,restaurant
3696549091,22.7729809,41.9663111,Пицерија Iceberg,,,,,restaurant
3696549092,22.7732345,41.9664629,Вигор,,,,,restaurant
3699318356,22.7726580,41.9641901,Ресторан Трла,,,,,restaurant
3699318369,22.7736839,41.9634140,Gostilnica Zvon-Trejd,,,,,restaurant
3707090923,21.4170693,41.9972260,Еснаф кај даре,regional,,,,restaurant
3751301960,21.4591155,41.9191256,Ресторан Бела,regional,,,,restaurant
3770746357,22.4784535,41.0790393,Άμπελος,,,,,restaurant
3784770415,22.6153456,41.5162501,ЈаворШпед,,,,,restaurant
3786106943,22.2451062,41.6337365,Рибник,,,,,restaurant
3822688281,21.2166228,41.5068787,Кај Чоме,,,,,restaurant
3826400404,20.8015550,41.1119481,Ривиера,,,,,restaurant
3826400405,20.7998658,41.1127888,Гиро Летница,,,,,fast_food
3826400416,20.8039749,41.1104511,Ла Бела,,,,,restaurant
3826400434,20.8052329,41.1095360,Royal View,,,,,restaurant
3828431959,21.7828824,41.7176771,Ројал,,,,,fast_food
3830455732,21.4725098,41.9824716,Pizza Amica,,,,,restaurant
